rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
458,Tosan Evbuomwan,SF/PF,CHA,25.5,275,1083,0.000,0.000,0.0,0.0,0.4,0.0,0.0,0.0,0.0
459,MarJon Beauchamp,SG/SF,PHI,25.9,745,573,0.434,0.684,1.1,6.8,2.3,1.1,0.6,0.3,0.9
460,Larry Nance Jr.,PF/C,IND,33.7,680,620,0.419,0.462,0.6,3.7,2.7,1.0,0.6,0.2,0.6
461,Caleb Houstan,SG/SF,NO,23.6,666,652,0.538,1.000,0.6,2.3,0.6,0.2,0.1,0.1,0.2
462,Jeremiah Robinson-Earl,PF/C,IND,25.8,572,877,0.370,0.944,0.5,4.6,4.7,0.7,0.4,0.0,0.5
463,Pacome Dadiet,SF/PF,NY,21.1,535,912,0.340,0.818,0.2,1.7,0.9,0.4,0.1,0.0,0.1
464,Jesse Edwards,C,MIN,26.5,213,1106,,,,,,,,,
465,Alec Burks,SG/SF,MIA,35.1,760,553,,,,,,,,,
466,Johnny Juzang,SG/SF,MIN,25.5,546,899,0.421,0.625,0.3,2.0,0.8,0.3,0.1,0.0,0.2
467,Trey Jemison,PF/C,TOR,26.8,578,874,0.600,1.000,0.0,1.0,1.4,0.4,0.1,0.2,0.8
468,Trevelin Queen,SG/SF,ORL,29.5,445,996,,,,,,,,,
470,Tolu Smith,,DET,26.1,323,1056,0.500,0.667,0.0,3.7,3.3,0.9,0.1,0.4,0.5
471,Javonte Green,SG/SF,DET,33.1,285,1080,0.447,0.840,1.2,6.9,2.8,0.7,1.3,0.3,0.5
472,Pete Nance,PF,MIL,26.5,170,1130,0.515,0.364,1.1,5.4,2.7,1.0,0.3,0.3,0.6
473,Mac McClung,PG/SG,CHI,25.7,279,1082,0.390,0.778,0.6,6.1,0.9,0.9,1.0,0.3,0.8
